,Frequency,CL,FR,MC,RV,DSSR
"_:0F-,_",140,65.71428571428571,43.57142857142857,6.428571428571428,40.714285714285715,43.57142857142857
"_:2FT,_",15,46.666666666666664,13.333333333333334,33.33333333333333,46.666666666666664,60.0
"_:1TT,_",50,38.0,54.0,30.0,46.0,32.0
"1TT:_,_",14,71.42857142857143,0.0,57.14285714285714,42.857142857142854,28.57142857142857
"0F-:_,_",7,100.0,28.57142857142857,14.285714285714285,28.57142857142857,28.57142857142857
"0F-:1TT,0F-",1,100.0,0.0,0.0,100.0,0.0
"_:1FT,_",9,11.11111111111111,22.22222222222222,66.66666666666666,33.33333333333333,66.66666666666666
"_:1FF,_",1,100.0,0.0,100.0,0.0,0.0
"0F-:0F-,0F-",1,0.0,100.0,0.0,100.0,0.0
"_:0T-,_",2,0.0,100.0,100.0,0.0,0.0
"0F-:1FT,0F-",1,0.0,100.0,0.0,100.0,0.0
